time	count
5102254.202	1.00
5102254.587	0.00
5102268.286	1.00
5102287.236	0.00
5102290.187	1.00
5102293.542	0.00
5102295.446	1.00
5102296.136	0.00
5102296.860	1.00
5102297.295	0.00
5102314.506	1.00
5102318.036	0.00
5102357.391	1.00
5102365.853	0.00
5102370.491	1.00
5102371.442	0.00
5102380.601	1.00
5102381.652	0.00
5102405.372	1.00
5102407.637	0.00
5102411.495	1.00
5102412.291	0.00
5102421.296	1.00
5102423.293	0.00
5102445.128	1.00
5102447.213	0.00
5102450.768	1.00
5102451.438	0.00
5102460.091	1.00
5102460.857	0.00
5102481.839	1.00
5102483.908	0.00
5102487.416	1.00
5102488.208	0.00
5102496.988	1.00
5102497.612	0.00
5102519.045	1.00
5102521.058	0.00
5102524.630	1.00
5102525.605	0.00
5102534.248	1.00
5102535.148	0.00
5102556.125	1.00
5102610.346	0.00
5102614.631	1.00
5102615.411	0.00
5102626.346	1.00
5102627.409	0.00
5102636.362	1.00
5102646.653	0.00
5102648.923	1.00
5102649.664	0.00
5102673.981	1.00
5102684.661	0.00
5102688.190	1.00
5102689.441	0.00
5102698.839	1.00
5102699.586	0.00
5102707.460	1.00
5102715.682	0.00
5102717.807	1.00
5102718.348	0.00
5102741.869	1.00
5102749.921	0.00
5102753.544	1.00
5102754.379	0.00
5102763.368	1.00
5102764.163	0.00
5102772.402	1.00
5102777.480	0.00
5102779.597	1.00
5102780.326	0.00
5102830.853	1.00
5102839.557	0.00
5102843.245	1.00
5102844.138	0.00
5102853.579	1.00
5102854.332	0.00
5102862.411	1.00
5102868.064	0.00
5102870.151	1.00
5102870.916	0.00
5115339.363	1.00
5116490.956	0.00
5116499.898	1.00
5116526.931	0.00
5116534.554	1.00
5116709.730	0.00
5116713.929	1.00
5116723.801	0.00
5116959.645	1.00
5116960.801	0.00
5116961.823	1.00
5116962.242	0.00
5116962.959	1.00
5116963.457	0.00
