time        	count
      0.000 	 0.00
5098588.739 	 1.00
5098666.237 	 0.00
5099041.308 	 1.00
5099055.361 	 0.00
5099367.065 	 1.00
5099385.629 	 0.00
5099689.618 	 1.00
5099709.843 	 0.00
5100034.760 	 1.00
5100048.966 	 0.00
5100365.990 	 1.00
5100380.767 	 0.00
