time	count
0.000	0.00
5065629.661	1.00
5065687.577	0.00
5065875.954	1.00
5102302.234	0.00
5102323.634	1.00
5102375.557	0.00
5102387.159	1.00
5102416.292	0.00
5102428.200	1.00
5102455.151	0.00
5102465.571	1.00
5102492.068	0.00
5102502.848	1.00
5102529.317	0.00
5102539.916	1.00
5102620.788	0.00
5102653.371	1.00
5102693.811	0.00
5102722.082	1.00
5102758.504	0.00
5102783.894	1.00
5102848.432	0.00
5115388.369	1.00
5115390.118	0.00
5116502.118	1.00
5116504.081	0.00
